,,All people: Total,All people: Males,All people: Females,Lives in a household: Total,Lives in a household: Males,Lives in a household: Females,Lives in a communal establishment: Total,Lives in a communal establishment: Males,Lives in a communal establishment: Females
Lanarkshire,65 to 69,"28,042","13,151","14,891","27,848","13,052","14,796",194,99,95
Lanarkshire,70 to 74,"23,614","10,536","13,078","23,301","10,397","12,904",313,139,174
Lanarkshire,75 to 79,"18,354","7,718","10,636","17,862","7,564","10,298",492,154,338
Lanarkshire,80 to 84,"12,274","4,650","7,624","11,481","4,426","7,055",793,224,569
Lanarkshire,85 to 89,"6,358","2,093","4,265","5,491","1,908","3,583",867,185,682
Lanarkshire,90 to 94,"2,246",595,"1,651","1,650",489,"1,161",596,106,490
Lanarkshire,95 and over,630,128,502,358,97,261,272,31,241
Lothian,All people,"834,350","405,702","428,648","815,424","396,857","418,567","18,926","8,845","10,081"
Lothian,0 to 4,"48,491","24,616","23,875","48,450","24,598","23,852",41,18,23
Lothian,5 to 9,"41,421","21,369","20,052","41,377","21,344","20,033",44,25,19
Lothian,10 to 11,"16,584","8,323","8,261","16,473","8,259","8,214",111,64,47
Lothian,12 to 14,"26,255","13,468","12,787","25,836","13,208","12,628",419,260,159
Lothian,15,"9,057","4,750","4,307","8,866","4,626","4,240",191,124,67
Lothian,16 to 17,"18,457","9,532","8,925","17,809","9,158","8,651",648,374,274
Lothian,18 to 19,"23,695","11,642","12,053","19,443","9,803","9,640","4,252","1,839","2,413"
Lothian,20 to 24,"68,249","33,103","35,146","64,181","31,229","32,952","4,068","1,874","2,194"
Lothian,25 to 29,"65,347","31,790","33,557","64,009","30,927","33,082","1,338",863,475
Lothian,30 to 34,"59,093","29,410","29,683","58,442","28,914","29,528",651,496,155
Lothian,35 to 39,"58,725","29,392","29,333","58,348","29,085","29,263",377,307,70
Lothian,40 to 44,"61,912","30,523","31,389","61,527","30,212","31,315",385,311,74
Lothian,45 to 49,"62,113","30,828","31,285","61,794","30,600","31,194",319,228,91
Lothian,50 to 54,"55,831","27,451","28,380","55,525","27,253","28,272",306,198,108
Lothian,55 to 59,"47,455","23,446","24,009","47,189","23,282","23,907",266,164,102
Lothian,60 to 64,"47,633","23,091","24,542","47,349","22,907","24,442",284,184,100
Lothian,65 to 69,"35,688","16,904","18,784","35,412","16,740","18,672",276,164,112
Lothian,70 to 74,"30,082","13,625","16,457","29,681","13,437","16,244",401,188,213
Lothian,75 to 79,"24,661","10,603","14,058","23,994","10,347","13,647",667,256,411
Lothian,80 to 84,"17,909","6,900","11,009","16,766","6,576","10,190","1,143",324,819
Lothian,85 to 89,"10,540","3,621","6,919","9,174","3,245","5,929","1,366",376,990
Lothian,90 to 94,"3,989","1,070","2,919","3,070",920,"2,150",919,150,769
Lothian,95 and over,"1,163",245,918,709,187,522,454,58,396
Orkney,All people,"21,349","10,566","10,783","21,151","10,488","10,663",198,78,120
Orkney,0 to 4,"1,107",564,543,"1,105",562,543,2,2,-
Orkney,5 to 9,"1,004",502,502,999,502,497,5,-,5
Orkney,10 to 11,445,215,230,444,214,230,1,1,-
Orkney,12 to 14,760,430,330,757,428,329,3,2,1
Orkney,15,310,175,135,310,175,135,-,-,-
Orkney,16 to 17,547,241,306,544,239,305,3,2,1
Orkney,18 to 19,449,221,228,445,218,227,4,3,1
Orkney,20 to 24,"1,133",614,519,"1,124",606,518,9,8,1
Orkney,25 to 29,"1,048",528,520,"1,036",523,513,12,5,7
Orkney,30 to 34,"1,065",505,560,"1,057",498,559,8,7,1
Orkney,35 to 39,"1,216",569,647,"1,211",565,646,5,4,1
Orkney,40 to 44,"1,589",784,805,"1,585",782,803,4,2,2
Orkney,45 to 49,"1,712",878,834,"1,702",873,829,10,5,5
Orkney,50 to 54,"1,611",810,801,"1,600",805,795,11,5,6
Orkney,55 to 59,"1,528",771,757,"1,519",766,753,9,5,4
Orkney,60 to 64,"1,606",824,782,"1,597",817,780,9,7,2
Orkney,65 to 69,"1,346",650,696,"1,342",648,694,4,2,2
Orkney,70 to 74,"1,092",535,557,"1,086",533,553,6,2,4
Orkney,75 to 79,733,337,396,724,334,390,9,3,6
Orkney,80 to 84,569,244,325,550,240,310,19,4,15
Orkney,85 to 89,305,123,182,279,120,159,26,3,23
Orkney,90 to 94,128,35,93,102,30,72,26,5,21
Orkney,95 and over,46,11,35,33,10,23,13,1,12
Shetland,All people,"23,167","11,761","11,406","22,981","11,698","11,283",186,63,123
Shetland,0 to 4,"1,389",741,648,"1,387",740,647,2,1,1
Shetland,5 to 9,"1,326",712,614,"1,324",710,614,2,2,-
Shetland,10 to 11,581,294,287,581,294,287,-,-,-
Shetland,12 to 14,869,417,452,867,416,451,2,1,1
Shetland,15,306,153,153,306,153,153,-,-,-
Shetland,16 to 17,629,342,287,629,342,287,-,-,-
